IID	sex	age	y
1	1	25	0.25
2	0	26	0.25
3	0	30	0
4	1	39	0
5	0	28	0
6	1	33	0
7	0	20	0
8	1	27	0
9	1	30	0
10	1	38	0
11	0	46	0
12	1	36	1
13	1	36	0
14	0	36	0
15	0	42	0
16	0	40	1
17	0	22	0
18	1	24	0.25
19	0	28	0
20	0	32	0
21	0	36	0
22	1	24	0
23	1	32	0
24	0	43	1
25	1	22	1
26	1	47	0
27	1	44	0
28	0	33	0
29	0	37	0
30	1	20	0
31	0	21	0
32	0	34	0
33	0	25	0
34	0	37	0
35	1	46	0
36	0	29	0.25
37	0	37	0
38	0	42	0
39	1	28	0
40	0	26	0
41	1	25	0
42	0	33	0
43	1	31	0
44	1	47	0.25
45	1	40	0
46	1	32	0
47	1	48	0.25
48	0	20	0
49	0	29	0
50	1	26	0.5
51	1	40	0
52	1	39	0
53	0	23	0
54	1	25	0
55	0	25	0
56	0	45	0
57	1	48	0
58	0	27	0
59	1	49	0
60	1	30	0
61	0	40	0
62	1	30	0
63	1	23	0
64	1	20	0
65	0	46	0
66	0	35	1
67	0	21	0
68	0	25	0
69	1	38	0
70	0	43	0
71	1	40	0
72	0	26	0
73	1	39	0
74	0	44	0
75	1	30	0
76	1	43	0
77	1	28	0
78	0	34	0
79	1	21	0
80	0	36	0
81	1	24	0
82	0	26	1
83	1	43	0
84	1	48	0
85	1	31	0
86	0	44	0
87	1	22	0
88	0	23	0
89	0	25	0
90	0	47	0
91	0	34	0.25
92	1	21	0
93	0	38	0
94	0	45	0
95	1	27	0.25
96	1	29	1
97	1	23	0
98	1	46	0
99	0	22	0.25
100	0	29	0
101	0	28	0
102	1	27	0
103	1	39	0
104	1	39	0
105	1	27	0
106	1	36	0
107	0	49	0
108	1	33	0
109	0	49	1
110	0	45	0
111	0	31	0
112	0	44	0
113	0	33	0.25
114	0	47	0.25
115	0	25	0
116	1	43	0
117	0	37	0
118	1	24	0
119	1	35	0
120	1	29	0
121	1	43	0
122	0	40	0
123	1	42	0
124	0	21	0
125	1	36	0
126	1	23	0
127	0	38	0
128	1	35	0
129	0	39	0.25
130	1	38	0
131	1	39	0
132	1	48	1
133	1	48	0
134	1	40	0
135	1	29	0
136	0	38	0.25
137	1	37	0
138	1	45	0
139	0	39	0
140	1	34	0
141	0	45	0
142	0	27	1
143	0	24	0
144	0	35	0
145	0	30	0
146	0	45	0
147	1	42	0
148	0	46	0
149	1	50	0
150	0	23	0.25
151	1	43	0
152	1	42	0.25
153	1	33	0
154	1	33	0
155	0	30	0
156	0	29	0
157	0	33	0
158	1	49	1
159	0	37	0
160	0	42	0
161	1	25	0
162	0	24	0
163	1	38	0
164	0	29	0.25
165	1	20	0
166	1	28	0
167	0	25	0
168	0	44	0
169	1	28	0
170	0	45	0
171	0	26	0
172	0	49	0
173	0	39	0
174	1	42	0
175	0	32	0
176	0	36	0
177	1	38	0
178	0	49	0
179	0	35	0
180	0	24	0
181	1	38	0
182	0	29	0.25
183	1	25	0
184	1	30	0.25
185	0	31	0
186	1	46	0
187	0	39	0
188	0	25	1
189	1	25	0
190	1	40	0
191	0	46	0
192	0	22	0
193	0	35	0
194	0	34	0
195	1	21	0
196	1	43	0
197	1	22	0
198	1	26	0.25
199	0	36	0.25
200	0	32	0
201	0	47	0
202	0	30	0
203	0	22	0
204	0	37	0
205	0	49	0
206	1	33	0
207	0	37	1
208	1	43	0
209	0	28	0
210	1	29	0
211	0	35	0
212	0	34	0
213	1	43	0
214	1	43	0
215	1	40	0
216	0	31	0
217	0	48	0
218	1	39	0.25
219	0	32	0
220	0	41	0
221	0	41	0
222	0	35	0
223	1	26	0.25
224	0	31	0
225	1	25	0
226	1	38	0
227	0	21	0
228	0	35	0
229	0	47	0
230	0	41	0
231	1	49	0
232	1	28	0
233	1	42	0.25
234	1	38	0
235	0	33	0.25
236	1	22	0
237	0	38	0
238	1	41	0
239	0	49	0.25
240	1	40	0
241	0	25	0
242	1	44	0
243	0	44	0
244	1	21	1
245	1	48	0
246	0	41	0
247	1	25	0
248	0	36	0
249	0	47	1
250	1	44	0
251	1	42	0
252	1	36	0
253	0	24	0
254	0	47	0
255	1	45	0
256	1	22	0
257	0	43	0
258	1	45	0
259	1	48	0.25
260	1	32	0
261	0	30	0.25
262	0	49	0.25
263	1	39	0
264	0	29	0
265	0	46	0
266	1	46	0
267	0	36	0
268	0	45	0
269	0	33	0
270	0	22	0
271	1	22	0
272	0	42	0.25
273	1	30	0
274	0	38	0.25
275	1	25	0
276	1	45	0
277	1	21	0.25
278	1	36	0
279	1	39	0
280	0	42	0
281	0	38	0
282	0	45	0
283	0	30	0
284	1	46	0
285	1	20	0
286	0	35	0
287	0	41	0
288	1	34	1
289	0	34	0
290	1	39	0
291	1	45	0
292	1	42	0
293	1	23	0
294	0	37	0
295	1	28	0
296	0	27	0
297	1	44	0
298	0	23	0
299	0	42	0
300	1	50	0
301	1	33	0.25
302	0	46	0
303	0	24	0
304	1	34	0
305	0	28	0
306	0	20	0
307	0	26	0
308	1	26	0
309	0	26	0
310	1	36	0
311	1	21	0
312	0	39	0
313	1	46	0
314	1	27	0
315	0	27	0
316	1	35	0.25
317	0	33	0.25
318	1	31	0.25
319	1	49	0
320	0	36	0.25
321	0	41	0
322	1	45	0
323	0	39	0
324	1	46	0
325	0	39	0
326	0	23	0
327	1	41	0
328	1	44	0
329	1	32	0
330	1	20	0
331	0	22	0.25
332	1	37	0
333	0	38	0
334	1	45	0
335	1	50	0
336	0	28	0
337	0	40	0
338	0	31	0
339	0	37	0
340	1	21	0
341	0	43	0
342	1	48	0
343	0	45	0
344	0	38	1
345	0	47	0
346	0	21	0
347	0	29	0
348	0	21	0.25
349	1	43	0
350	0	40	1
351	0	41	0
352	1	41	0
353	1	46	0
354	0	27	0
355	0	35	0
356	0	23	0
357	0	42	0
358	1	22	0
359	0	41	0.25
360	1	41	0
361	0	32	0.25
362	0	46	0
363	1	47	1
364	1	25	0
365	1	48	0
366	0	26	0
367	1	37	0
368	1	45	0
369	1	46	0
370	0	45	0
371	0	28	0
372	1	40	0
373	1	29	0
374	0	46	0
375	1	34	0
376	0	39	0
377	0	50	0
378	0	32	0
379	0	30	0
380	1	36	0
381	0	49	0.25
382	1	50	0
383	0	22	0.25
384	1	49	0
385	0	36	0
386	0	22	0
387	0	49	0.25
388	0	25	0
389	1	47	0.25
390	1	47	0
391	0	42	0
392	1	21	0
393	1	43	0
394	0	24	0
395	0	36	0
396	1	41	0
397	0	39	0
398	1	39	0
399	1	33	0
